,Year,Type,Country,Area,Location,Activity,Sex ,Injury,Time,Fatal,NotFatal,Species,Season
77,2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,Lacerations to lower left leg and foot,Afternoon,0,1,white,aut
78,2017,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,M,"No injury, board damaged by shark",Morning,0,1,bull,aut
172,2017,Unprovoked,AUSTRALIA,Western Australia,Mauds Point,Snorkeling,F,Hand bitten,Morning,0,1,unknown,win
80,2017,Unprovoked,USA,Florida,Fort Worth,Surfing,M,Laceration to upper arm,Afternoon,0,1,white,aut
60,2017,Unprovoked,USA,California,"Stillwater Cove, Monterey County",Spearfishing,M,Right leg bitten,unknown,0,1,unknown,aut
111,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Surfing,M,Torso bitten,Afternoon,0,1,unknown,sum
181,2017,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming,M,Minor laceration to ring finger,Afternoon,0,1,unknown,win
173,2017,Unprovoked,AUSTRALIA,Western Australia,"Falcon Bay Beach, Mandurah",Surfing,M,"No injury, shark struck board",Afternoon,0,1,unknown,win
68,2017,Unprovoked,MAURITIUS,Pamplemousses ,Le Goulet,Swimming,M,Minor injury to foot,Morning,0,1,wobbegong,aut
69,2017,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing ,M,Lacerations to left foot,Morning,0,1,tiger,aut
70,2017,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,Severe lacerations to left hand & wrist,Morning,0,1,unknown,aut
112,2017,Unprovoked,USA,New Jersey,Ventnor,unknown,F,Minor injury to hand,Morning,0,1,unknown,sum
113,2017,Unprovoked,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",Swimming,F,Abrasion to arm from shark's rough skin,Afternoon,0,1,unknown,sum
100,2017,Unprovoked,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",SUP,M,Not injured by shark but board bitten,Morning,0,1,unknown,sum
71,2017,Unprovoked,AUSTRALIA,South Australia,Normanville,Kayaking / Fishing,F,Minor injuries,unknown,0,1,unknown,aut
114,2017,Unprovoked,USA,Florida,"Snipes Point, Monroe County",unknown,F,Foot bitten,Afternoon,0,1,white,sum
182,2017,Unprovoked,USA,Florida,"Vero Beach, Indian River County",unknown,M,Puncture wounds to lower arm or hand,Morning,0,1,sevengill,win
152,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Snorkeling,F,Calf & foot bitten,Afternoon,0,1,unknown,spr
72,2017,Unprovoked,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",Kayaking,M,"No injury, shark shook kayak x3 ",Afternoon,0,1,unknown,aut
126,2017,Unprovoked,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,F,Left foot bitten,Morning,0,1,unknown,sum
